Title,Salary,Location,Employment Type
PHP Developer (Email),SoftSvit,Київ,Повна зайнятість
Прикладний інженер,Renesas Electronics,Львів,"Повна зайнятість, неповна зайнятість"
"Lead Generation Manager (B2B, IT Company)",Banza,Дистанційно,Повна зайнятість
Адміністратор рецепції,Опус Авто,Хмельницький,Повна зайнятість
Фармацевт-аналітик,15 000 – 18 000 грн,Київ,Повна зайнятість
"Marketing Specialist (B2B, ID 177)",Helsi,Київ,Повна зайнятість
Media buyer,45 000 – 65 000 грн,Дистанційно,Повна зайнятість
"Автор з виконання наукових робіт на замовлення, під ключ",10 000 – 30 000 грн,Дистанційно,Неповна зайнятість
Інженер-проєктувальник електроживлення та освітлення,Compass Engineering,Київ,Повна зайнятість
Human resources administrator,Omnicore,Київ,Повна зайнятість
Marketologist,NS Mobile Solutions,Дистанційно,Повна зайнятість
Менеджер з продажу в IT (Upwork і LinkedIn),Yieldy,Дистанційно,Повна зайнятість
"Графічний дизайнер, ілюстратор",12 000 – 18 000 грн,Дистанційно,"Повна зайнятість, неповна зайнятість"
"Email Marketing Specialist (eSputnik, Prom.ua)",EVO,Київ,Повна зайнятість
Інженер-електронік,30 000 – 35 000 грн,Запоріжжя,Повна зайнятість
Спеціаліст по роботі з даними (Excel),Effie,Дистанційно,Повна зайнятість
Middle Electronics Design Engineer,Renesas Electronics,Львів,Повна зайнятість
HR Operations Specialist,Ajax Systems,Київ,Повна зайнятість
Game Economy Designer,Gameloft,Дистанційно,Повна зайнятість
"Фахівець з розвитку ключових клієнтів в категорії ""Робота""",OLX,Київ,Повна зайнятість
PR manager,Netpeak Group,Дистанційно,Повна зайнятість
Менеджер служби підтримки (зі знанням англійської мови),17 000 – 26 000 грн,Дистанційно,Повна зайнятість
"Менеджер з продажу (junior, IT)",Innoware,Київ,Повна зайнятість
"QA Engineer (Strong Junior, Middle, ERP Testing)",20 000 – 30 000 грн,Дистанційно,Повна зайнятість
Compliance Manager,"SI Group, LLC",Київ,Повна зайнятість
Financial Analyst (RozetkaPay),EVO,Київ,Повна зайнятість
Junior Digital IC Verification Engineer,Renesas Electronics,Львів,"Повна зайнятість, неповна зайнятість"
"Менеджер з продажу (B2B, медична система)",Health24,Одеса,Повна зайнятість
Внутрішній аудитор,"SI Group, LLC",Київ,Повна зайнятість
Sales Development Representative,Nix,Дистанційно,Повна зайнятість
Strong Junior QA Engineer,SpaceCrew Finance Company,Дистанційно,Повна зайнятість
Senior Unity UI Integrator,Gameloft,Дистанційно,Повна зайнятість
Інструктор БПЛА,42 907 грн,Київ,Повна зайнятість
Менеджер по роботі з клієнтами зі знанням іноземних мов,20 000 – 30 000 грн,Дистанційно,Повна зайнятість
Full-stack Backend PHP Web-Developer,Solid Solutions,Дистанційно,Повна зайнятість
Інженер-проєктувальник СПЗ та СБ,Compass Engineering,Київ,Повна зайнятість
Комірник у Київ,22 400 – 32 000 грн,Київ шукаємо у Переяславі,Повна зайнятість
Power BI Analyst,SmartTender,Дистанційно,Повна зайнятість
Налагоджувальник ЧПК,Лоджікс 7 Україна,Київ,Повна зайнятість
QA engineer,26 000 – 39 000 грн,Київ,Повна зайнятість
Молодший системний адміністратор,ITim,Київ,Повна зайнятість
Операційний менеджер,Ajax Systems,Київ,Повна зайнятість
Junior мережевий інженер,20 000 грн,Київ,Повна зайнятість
Молодший консультант із впровадження та підтримки SAP HCM,30 000 – 80 000 грн,Дистанційно,Повна зайнятість
Консультант-аналітик з програмних продуктів BAS,"Софтком, IT-компанія",Київ,Повна зайнятість
"Middle Back-end Developer (PHP, Laravel)",66 000 – 82 000 грн,Київ,Повна зайнятість
Sales Manager,40 000 – 80 000 грн,Дистанційно,Повна зайнятість
Інспектор відділу кадрів,Ajax Systems,Київ,Повна зайнятість
IT Copywriter,Nix,Дистанційно,Повна зайнятість
Sales manager,20 000 – 30 000 грн,Київ,Повна зайнятість
Керівник відділу розвитку партнерств (Ringostat),Ringostat,Дистанційно,Повна зайнятість
Маркетолог,"Інфоком ЛТД, ТОВ",Запоріжжя,Повна зайнятість
Спеціаліст служби підтримки,Digitalmethod tech ltd,Львів,Повна зайнятість
"Freelance Linkbuilder, Outreach Specialist (English)",Jooble,Дистанційно,"Повна зайнятість, неповна зайнятість"
Chat Manager,Uniwell,Дистанційно,Повна зайнятість
Керівник групи маркетингу та реклами,"Інфоком ЛТД, ТОВ",Запоріжжя,Повна зайнятість
Project Manager (Business Automation),Ajax Systems,Київ,Повна зайнятість
3D Artist,FLEXUS,Дистанційно,Повна зайнятість
Менеджер з продажу,18 000 грн,Дистанційно,Повна зайнятість
