Title,Salary,Location,Employment Type
Бізнес-аналітик,Unity-Bars,Київ,Повна зайнятість
Менеджер по роботі з клієнтами,17 000 – 19 000 грн,Кременчук,Повна зайнятість
PPC Specialist,Megogo,Київ,Повна зайнятість
Системний інженер з хмарних та мережевих технологій,De Novo,Київ,Повна зайнятість
"Junior Affiliate Manager (Betting, French language)",ASAP Solution,Дистанційно,Повна зайнятість
Головний бухгалтер,"Танграм, група компаній",Черкаси,Повна зайнятість
Фахівець з інформаційних технологій,"Інфотех, ДП",Дистанційно,Повна зайнятість
Personal Account Manager,Upstars,Дистанційно,Повна зайнятість
Менеджер з продажу,ТопСітіСервіс,Львів,Повна зайнятість
Менеджер з повернення клієнтів (зі знанням турецької мови),EvoPlay,Дистанційно,Повна зайнятість
Senior Sales Manager (B2B),Вчасно,Київ,Повна зайнятість
Middle iOS Developer,66 000 – 82 000 грн,Київ,Повна зайнятість
Спеціаліст з обробки виплат,DiJust,Київ,Повна зайнятість
Lead generation specialist,Вчасно,Дистанційно,Повна зайнятість
Mobile Product Manager,EvoPlay,Дистанційно,Повна зайнятість
SEO-спеціаліст (внутрішній продукт),"Wezom, IT-компания",Дистанційно,Повна зайнятість
"Сервісний інженер, молодший програміст BAS (1С)",15 000 – 25 000 грн,Дистанційно,Повна зайнятість
Finance Analyst,Megogo,Київ,Повна зайнятість
SEO-спеціаліст,Хорошоп,Дистанційно,Повна зайнятість
Молодший бухгалтер з первинної документації,23 000 – 25 000 грн,Київ,Повна зайнятість
SMM-спеціаліст,Maestro Ticket System (Kontramarka Україна),Дистанційно,Повна зайнятість
Product manager,EvoPlay,Дистанційно,Повна зайнятість
Менеджер проєктів розробки фінансової звітності,40 000 – 85 000 грн,Дистанційно,Повна зайнятість
3D Artist,BetterMe,Дистанційно,"Повна зайнятість, неповна зайнятість"
Community manager,Кварт-Софт,Дистанційно,Повна зайнятість
